City,Lat,Long,Max Tempurature,Humidity,Cloudiness,Wind Speed,Country,Date
berlevag,70.8578,29.0864,21.2,79,90,10.36,NO,1611268820
santa isabel do rio negro,-0.4139,-65.0192,75.51,96,74,1.23,BR,1611268821
kabare,-2.4683,28.8242,61.68,83,100,1.3,CD,1611268821
sorland,67.667,12.6934,24.8,58,75,36.82,NO,1611268821
puerto ayora,-0.7393,-90.3518,82.4,69,75,6.91,EC,1611268821
wasilla,61.5814,-149.4394,37.4,60,90,11.5,US,1611268822
havelock,34.8791,-76.9013,53.6,62,1,11.5,US,1611268822
cascais,38.6979,-9.4215,59.0,100,95,20.38,PT,1611268822
victoria,22.2855,114.1577,66.99,81,63,2.62,HK,1611268813
ponta do sol,32.6667,-17.1,63.0,87,41,4.0,PT,1611268823
gat,31.61,34.7642,48.0,70,0,6.33,IL,1611268823
south venice,27.0531,-82.4243,66.2,63,1,4.61,US,1611268823
magnolia,33.2671,-93.2393,52.0,87,90,4.61,US,1611268823
mitchell,43.7094,-98.0298,37.4,44,90,24.16,US,1611268824
manokwari,-0.8667,134.0833,80.49,72,74,1.68,ID,1611268824
odweyne,9.4092,45.064,67.57,37,44,6.62,SO,1611268824
thompson,55.7435,-97.8558,-11.2,77,75,2.3,CA,1611268824
privolzhskiy,51.4,46.0333,14.0,80,100,4.0,RU,1611268825
chimbote,-9.0853,-78.5783,72.45,76,77,11.1,PE,1611268825
tabuk,17.4189,121.4443,72.01,91,74,3.02,PH,1611268825
aklavik,68.2191,-135.0107,-9.4,77,90,4.61,CA,1611268825
sidi ali,36.0998,0.4206,52.93,73,60,8.68,DZ,1611268826
jyvaskyla,62.2415,25.7209,19.99,86,90,17.27,FI,1611268827
umm lajj,25.0213,37.2685,69.1,28,36,19.55,SA,1611268827
beringovskiy,63.05,179.3167,-0.92,91,100,9.62,RU,1611268828
lorengau,-2.0226,147.2712,83.64,61,100,2.06,PG,1611268828
hokitika,-42.7167,170.9667,60.08,79,91,9.66,NZ,1611268828
lunenburg,44.3835,-64.3155,26.6,54,92,8.05,CA,1611268829
mar del plata,-38.0023,-57.5575,77.0,73,0,14.97,AR,1611268751
tornio,65.8481,24.1466,12.2,85,90,19.57,FI,1611268830
pishin,30.5803,66.9961,48.47,50,1,5.68,PK,1611268830
otjimbingwe,-22.35,16.1333,74.46,55,86,4.56,NA,1611268830
tiszanana,47.5667,20.5333,42.8,81,0,11.5,HU,1611268830
quatre cocos,-20.2078,57.7625,79.0,83,40,5.75,MU,1611268831
antofagasta,-23.65,-70.4,69.8,68,20,17.27,CL,1611268831
chitral,35.8462,71.7858,30.61,56,17,3.96,PK,1611268573
hualmay,-11.0964,-77.6139,73.0,74,39,10.38,PE,1611268831
acajutla,13.5928,-89.8275,84.2,45,0,8.05,SV,1611268832
constantine,36.365,6.6147,42.8,75,20,4.61,DZ,1611268832
mahebourg,-20.4081,57.7,77.0,83,40,5.75,MU,1611268832
ponta delgada,37.7333,-25.6667,57.99,76,20,8.05,PT,1611268592
coquimbo,-29.9533,-71.3436,66.2,63,0,11.5,CL,1611268826
christchurch,-43.5333,172.6333,64.4,68,20,13.8,NZ,1611268822
winton,37.3894,-120.6133,68.0,26,1,5.75,US,1611268834
batagay,67.6333,134.6333,-31.49,83,100,1.88,RU,1611268834
jieshi,22.8134,115.8257,64.99,81,92,2.93,CN,1611268835
belaya gora,68.5333,146.4167,-46.55,78,75,1.19,RU,1611268835
cherskiy,68.75,161.3,-40.4,81,0,1.83,RU,1611268835
taoudenni,22.6783,-3.9836,65.52,22,8,11.99,ML,1611268836
port hardy,50.6996,-127.4199,41.0,81,40,3.44,CA,1611268836
liverpool,53.4106,-2.9779,42.8,81,20,14.97,GB,1611268837
kangaatsiaq,68.3065,-53.4641,15.78,83,64,6.4,GL,1611268837
tasiilaq,65.6145,-37.6368,8.6,78,20,6.91,GL,1611268837
kayerkan,69.3497,87.7602,-41.42,77,0,2.73,RU,1611268838
port hedland,-20.3167,118.5667,84.2,54,100,17.27,AU,1611268838
georgetown,5.4112,100.3354,77.0,83,20,5.28,MY,1611268742
la ciotat,43.1748,5.6045,55.0,87,100,5.93,FR,1611268838
alofi,-19.0595,-169.9187,84.2,79,75,6.91,NU,1611268839
egvekinot,66.3167,-179.1667,-10.64,89,100,18.32,RU,1611268839
diego de almagro,-26.3667,-70.05,72.27,27,0,6.91,CL,1611268839
marystown,47.1666,-55.1483,25.68,97,100,21.07,CA,1611268839
fuxin,42.0156,121.6589,10.81,88,0,6.53,CN,1611268840
barra do garcas,-15.89,-52.2567,73.65,84,81,3.2,BR,1611268701
hailin,44.5833,129.4167,3.45,93,79,2.44,CN,1611268840
terrace,54.5163,-128.6035,30.2,69,90,17.27,CA,1611268835
pokrovka,42.3414,78.0056,29.5,78,100,6.17,KG,1611268841
bergen,60.392,5.328,41.0,70,75,10.36,NO,1611268841
lardos,36.0942,28.0157,55.4,76,40,3.44,GR,1611268841
benghazi,32.1167,20.0667,55.38,50,73,11.59,LY,1611268841
jawa,31.8525,35.9393,37.4,87,0,10.76,JO,1611268842
kalat,29.0225,66.5916,44.26,60,0,9.53,PK,1611268842
bridlington,54.0831,-0.1919,37.99,82,0,11.01,GB,1611268842
swan hill,-35.3378,143.5544,84.27,18,22,5.91,AU,1611268842
pryazha,61.6926,33.6216,8.6,78,100,8.95,RU,1611268843
portland,45.5234,-122.6762,48.99,81,75,3.2,US,1611268843
strezhevoy,60.7333,77.5889,-16.6,76,90,11.18,RU,1611268843
caxito,-8.5785,13.6643,77.0,83,20,9.22,AO,1611268843
santa rosa,14.3122,121.1114,79.0,89,90,1.14,PH,1611268844
ust-omchug,61.15,149.6333,-28.91,64,0,3.11,RU,1611268844
ploemeur,47.7333,-3.4333,43.0,100,0,2.3,FR,1611268844
takoradi,4.8845,-1.7554,79.23,85,79,6.08,GH,1611268844
luan,46.3592,6.9759,48.0,81,40,6.26,CH,1611268845
tamandare,-8.7597,-35.1047,77.4,80,100,8.16,BR,1611268787
maragogi,-9.0122,-35.2225,77.43,80,100,7.87,BR,1611268599
traverse city,44.7631,-85.6206,35.6,64,90,16.11,US,1611268795
yar-sale,66.8333,70.8333,-36.04,83,80,8.23,RU,1611268846
sorong,-0.8833,131.25,79.66,84,69,6.71,ID,1611268848
shu,43.5983,73.7614,25.0,92,100,5.99,KZ,1611268848
teguldet,57.3064,88.1667,0.19,93,100,3.18,RU,1611268848
batticaloa,7.7102,81.6924,78.04,81,100,3.27,LK,1611268848
alta floresta,-9.8756,-56.0861,72.14,95,100,4.29,BR,1611268848
teknaf,20.8624,92.3058,64.42,82,0,6.42,BD,1611268849
ucluelet,48.9329,-125.5528,50.0,62,40,6.91,CA,1611268849
marsaxlokk,35.8419,14.5431,60.01,77,20,10.36,MT,1611268849
hasaki,35.7333,140.8333,30.2,93,75,3.44,JP,1611268750
saint anthony,45.0205,-93.218,26.6,54,1,16.11,US,1611268850
houma,29.5958,-90.7195,71.6,73,75,11.5,US,1611268712
beloha,-25.1667,45.05,78.91,85,41,7.96,MG,1611268644
lernapat,40.8163,44.3926,5.0,78,20,5.21,AM,1611268850
pundaguitan,6.3711,126.1689,82.49,74,75,8.81,PH,1611268851
witu,-2.3889,40.4382,75.4,91,100,5.66,KE,1611268852
kahului,20.8947,-156.47,80.6,54,40,21.85,US,1611268643
manjeshwar,12.7194,74.8861,77.0,88,8,5.21,IN,1611268852
pritzwalk,53.1494,12.1741,44.01,83,100,4.0,DE,1611268852
labuhan,-6.8844,112.2051,77.85,87,99,7.47,ID,1611268853
asau,46.4333,26.4,34.0,67,83,5.57,RO,1611268853
meulaboh,4.1363,96.1285,75.25,88,98,4.41,ID,1611268853
gamba,-2.65,10.0,78.12,87,100,4.43,GA,1611268854
stokmarknes,68.5646,14.9108,10.99,73,100,65.99,NO,1611268854
fare,-16.7,-151.0167,81.54,73,17,15.59,PF,1611268854
lumsden,50.6501,-104.8678,12.2,79,90,17.27,CA,1611268854
altay,47.8667,88.1167,22.23,86,100,2.55,CN,1611268854
calama,-22.4667,-68.9333,73.4,21,0,23.02,CL,1611268855
tual,-5.6667,132.75,83.66,72,89,2.62,ID,1611268855
tazovskiy,67.4667,78.7,-40.09,81,23,6.67,RU,1611268855
codrington,-38.2667,141.9667,65.25,65,100,9.28,AU,1611268856
southbridge,42.0751,-72.0334,30.99,59,46,4.45,US,1611268750
trinidad,-14.8333,-64.9,89.6,51,20,6.91,BO,1611268759
pacific grove,36.6177,-121.9166,55.4,62,1,10.36,US,1611268644
jardim,-21.4803,-56.1381,71.85,93,97,3.31,BR,1611268856
sopotnica,41.2947,21.155,38.57,85,93,2.37,MK,1611268857
broken hill,-31.95,141.4333,75.2,19,0,11.5,AU,1611268857
lagoa,39.05,-27.9833,58.6,69,93,10.69,PT,1611268857
hithadhoo,-0.6,73.0833,81.86,74,86,9.4,MV,1611268858
butembo,0.15,29.2833,59.34,84,86,2.59,CD,1611268858
vanavara,60.34,102.2797,-35.01,82,96,4.45,RU,1611268858
buncrana,55.1333,-7.45,37.2,80,18,13.76,IE,1611268858
sur,22.5667,59.5289,69.48,47,8,5.46,OM,1611268859
inverness,57.4791,-4.224,39.0,87,20,14.97,GB,1611268859
airai,-8.9266,125.4092,65.59,99,99,2.08,TL,1611268859
machico,32.7,-16.7667,64.4,82,20,3.44,PT,1611268859
broome,42.2506,-75.833,34.0,64,90,4.61,US,1611268860
atkarsk,51.8718,45.0078,12.96,96,100,13.13,RU,1611268860
san carlos de bariloche,-41.1456,-71.3082,82.99,23,0,20.71,AR,1611268831
znamenskoye,57.1281,73.8282,-8.19,91,95,4.97,RU,1611268861
hirara,24.8,125.2833,69.8,100,75,19.57,JP,1611268624
muros,42.7762,-9.0603,53.01,92,97,3.0,ES,1611268861
mtama,-10.3,39.3667,74.53,92,100,4.61,TZ,1611268862
kavaratti,10.5669,72.642,81.37,76,27,10.83,IN,1611268862
mastic beach,40.7668,-72.8521,37.99,52,1,4.61,US,1611268862
mandera,3.9366,41.867,83.82,49,100,10.85,KE,1611268862
chicama,-7.8447,-79.1469,69.8,83,20,10.36,PE,1611268863
provideniya,64.3833,-173.3,28.4,93,90,15.66,RU,1611268863
borgarnes,64.5383,-21.9206,30.2,69,20,25.32,IS,1611268864
tiksi,71.6872,128.8694,-31.07,83,100,18.63,RU,1611268864
ushibuka,32.1906,130.0228,59.97,88,89,7.34,JP,1611268864
sitka,57.0531,-135.33,39.2,87,90,3.44,US,1611268864
mandalgovi,45.7625,106.2708,10.15,84,75,6.31,MN,1611268865
pilane,-24.45,26.1333,77.0,61,0,6.91,BW,1611268865
killam,52.7834,-111.8518,24.8,86,95,8.05,CA,1611268865
praia,14.9215,-23.5087,71.6,78,75,19.57,CV,1611268866
ribeira grande,38.5167,-28.7,59.54,67,98,5.77,PT,1611268866
chegdomyn,51.1167,133.0167,-27.65,84,74,0.69,RU,1611268866
safaga,26.7292,33.9365,57.2,44,0,11.5,EG,1611268867
talaja,21.35,72.05,66.09,49,0,8.1,IN,1611268867
praia da vitoria,38.7333,-27.0667,62.6,100,20,6.17,PT,1611268868
garden city,42.3256,-83.331,42.8,48,40,18.41,US,1611268868
jalu,29.0331,21.5482,45.93,57,0,8.43,LY,1611268868
jhabua,22.7667,74.6,63.03,30,0,3.6,IN,1611268868
kaitangata,-46.2817,169.8464,60.01,63,54,11.01,NZ,1611268869
esperance,-33.8667,121.9,64.4,82,90,13.8,AU,1611268869
arraial do cabo,-22.9661,-42.0278,77.0,83,20,14.97,BR,1611268869
bilibino,68.0546,166.4372,-20.81,82,95,3.85,RU,1611268869
le portel,50.7056,1.5757,41.0,93,75,3.44,FR,1611268870
lavrentiya,65.5833,-171.0,25.7,97,100,17.85,RU,1611268870
waddan,29.1614,16.139,50.22,45,22,11.5,LY,1611268870
ascension,30.2169,-90.9001,71.6,73,90,5.75,US,1611268871
derzhavinsk,51.1,66.3167,-13.07,89,25,8.55,KZ,1611268871
katobu,-4.9408,122.5276,78.71,86,2,3.13,ID,1611268871
mazagao,-0.115,-51.2894,80.6,83,75,5.75,BR,1611268872
chapais,49.7834,-74.8492,5.0,85,90,11.5,CA,1611268872
pombia,45.653,8.6336,37.4,100,90,2.3,IT,1611268872
tessalit,20.1986,1.0114,61.47,26,0,13.42,ML,1611268873
clive,41.603,-93.7241,39.2,52,20,19.57,US,1611268873
mpika,-11.8343,31.4529,61.95,98,100,6.13,ZM,1611268873
chara,56.9064,118.2631,-27.9,67,25,0.87,RU,1611268874
praya,14.9215,-23.5087,71.6,78,75,19.57,CV,1611268866
westport,41.1415,-73.3579,37.99,60,1,3.44,US,1611268874
sesheke,-17.4759,24.2968,68.54,98,100,1.34,ZM,1611268874
yulara,-25.2406,130.9889,84.2,12,97,6.91,AU,1611268875
zhanakorgan,43.9098,67.2495,17.26,93,100,22.26,KZ,1611268875
kruisfontein,-34.0033,24.7314,70.0,93,8,3.0,ZA,1611268875
ashland,40.8167,-82.2665,39.2,60,1,13.8,US,1611268875
lixourion,38.2019,20.4314,55.58,74,87,12.17,GR,1611268876
comodoro rivadavia,-45.8667,-67.5,89.6,27,0,16.11,AR,1611268876
hobyo,5.3505,48.5268,78.48,82,89,19.91,SO,1611268877
sakakah,29.9697,40.2064,39.2,45,0,6.38,SA,1611268877
longyearbyen,78.2186,15.6401,10.4,61,0,21.85,SJ,1611268877
nuevo progreso,23.1667,-97.95,78.01,60,8,4.0,MX,1611268877
xai-xai,-25.0519,33.6442,72.48,82,4,5.57,MZ,1611268878
ornskoldsvik,63.2909,18.7153,24.8,100,90,12.66,SE,1611268878
novo aripuana,-5.1206,-60.3797,72.55,98,100,2.66,BR,1611268879
college,64.8569,-147.8028,6.8,72,20,3.62,US,1611268793
louis trichardt,-23.0439,29.9032,65.03,88,25,8.39,ZA,1611268879
kasamwa,-2.85,32.4333,64.44,85,70,2.8,TZ,1611268879
grand gaube,-20.0064,57.6608,79.0,77,22,1.99,MU,1611268880
kununurra,-15.7667,128.7333,80.6,100,100,3.62,AU,1611268880
sierra vista,31.5545,-110.3037,55.99,76,90,12.66,US,1611268880
nanortalik,60.1432,-45.2371,23.36,87,0,5.03,GL,1611268881
kirakira,-10.4544,161.9205,83.37,74,100,11.54,SB,1611268881
carauari,-4.8828,-66.8958,75.47,89,45,2.59,BR,1611268882
sladkovo,55.5284,70.3385,-17.45,89,41,8.81,RU,1611268882
abalak,58.1286,68.5944,-9.24,91,100,5.32,RU,1611268882
leshukonskoye,64.8989,45.7622,-17.55,88,14,3.83,RU,1611268882
kieta,-6.2167,155.6333,83.61,61,98,8.55,PG,1611268883
ayan,56.45,138.1667,-14.55,73,100,12.62,RU,1611268884
juanjui,-7.1779,-76.7314,79.32,77,7,1.61,PE,1611268884
agadez,19.75,10.25,58.26,33,0,8.66,NE,1611268884
ceske velenice,48.7685,14.9637,30.99,86,54,8.99,CZ,1611268884
qeshm,26.9581,56.2719,66.2,67,0,4.61,IR,1611268885
yasnyy,51.0333,59.8742,-4.23,92,100,15.01,RU,1611268886
tawau,4.2498,117.8871,75.2,94,20,2.3,MY,1611268886
salalah,17.0151,54.0924,68.0,60,0,3.44,OM,1611268886
mehamn,71.0357,27.8492,19.4,86,90,13.8,NO,1611268886
marathon,44.9,-89.7668,32.0,51,90,24.16,US,1611268887
mount gambier,-37.8333,140.7667,62.6,82,40,8.05,AU,1611268887
gladstone,-23.85,151.25,77.0,57,14,10.36,AU,1611268887
camargo,27.6667,-105.1667,73.27,36,47,12.95,MX,1611268887
omsukchan,62.5333,155.8,-28.41,78,3,4.07,RU,1611268888
beidao,34.5686,105.8933,33.6,66,100,2.39,CN,1611268888
makakilo city,21.3469,-158.0858,82.4,51,90,8.05,US,1611268888
sulangan,11.1373,123.7228,81.18,79,31,3.02,PH,1611268888
bambanglipuro,-7.95,110.2833,78.58,81,100,2.71,ID,1611268889
quito,-0.2299,-78.5249,60.8,77,75,10.36,EC,1611268722
oktyabrskoye,43.0645,44.7417,15.8,86,0,6.71,RU,1611268889
balky,47.3834,34.944,31.96,98,3,10.54,UA,1611268890
denpasar,-8.65,115.2167,79.16,75,100,6.11,ID,1611268890
silikatnyy,53.9896,48.3275,15.8,92,90,11.18,RU,1611268890
bandarbeyla,9.4942,50.8122,74.17,79,83,15.61,SO,1611268891
honiara,-9.4333,159.95,82.04,73,95,7.63,SB,1611268891
adrar,20.5022,-10.0711,63.27,24,65,11.34,MR,1611268891
fairbanks,64.8378,-147.7164,6.8,72,20,3.62,US,1611268892
coruripe,-10.1256,-36.1756,77.32,79,100,9.69,BR,1611268892
dongsheng,39.8161,109.9776,18.19,78,0,5.19,CN,1611268893
the valley,18.217,-63.0578,78.8,78,20,9.22,AI,1611268777
shiyan,32.6475,110.7781,45.52,57,100,0.87,CN,1611268823
matale,7.4721,80.6234,68.52,94,91,2.8,LK,1611268894
shingu,33.7333,135.9833,53.71,81,58,3.06,JP,1611268750
hofn,64.2539,-15.2082,29.21,89,57,24.7,IS,1611268895
aykhal,66.0,111.5,-53.28,68,66,4.12,RU,1611268895
bubaque,11.2833,-15.8333,78.46,74,52,10.87,GW,1611268895
avera,33.194,-82.5271,59.0,94,90,9.22,US,1611268895
smithers,54.7804,-127.1743,23.0,80,90,4.61,CA,1611268742
marsh harbour,26.5412,-77.0636,70.92,61,91,7.27,BS,1611268896
kloulklubed,7.0419,134.2556,77.0,94,90,4.61,PW,1611268896
tura,25.5198,90.2201,55.9,58,0,3.69,IN,1611268896
upernavik,72.7868,-56.1549,26.42,98,85,11.63,GL,1611268897
terney,45.0503,136.6092,7.75,83,0,11.48,RU,1611268897
yongan,39.6957,113.6871,20.66,74,0,1.28,CN,1611268897
constitucion,-35.3333,-72.4167,63.3,76,19,7.29,CL,1611268898
krasnoarmeysk,51.0239,45.6969,14.0,80,100,5.99,RU,1611268898
deputatskiy,69.3,139.9,-32.66,84,100,3.87,RU,1611268898
ishinomaki,38.4167,141.3,33.8,75,75,3.44,JP,1611268898
paka,4.6374,103.4368,75.2,94,51,2.68,MY,1611268633
auki,-8.7676,160.7034,83.95,60,78,6.87,SB,1611268899
lompoc,34.6391,-120.4579,66.99,48,0,13.8,US,1611268649
sobolevo,54.4299,31.8996,30.54,98,99,12.01,RU,1611268899
clemson,34.6834,-82.8374,55.0,76,20,9.22,US,1611268900
jinchang,38.4953,102.1739,25.63,65,20,2.77,CN,1611268900
dukat,62.55,155.55,-27.35,78,1,3.22,RU,1611268901
nagato,34.3833,131.2,50.0,100,75,4.61,JP,1611268848
